timestamp,tx,ty,tz,roll,pitch,yaw,speed
553.890951,-191.997574,-393.429626,-283.296112,173.936406,-2.223682,3.022140,76.032204
553.924284,-192.605728,-393.193146,-282.455353,173.897621,-2.225808,3.029250,31.928142
553.957617,-195.290329,-395.507629,-283.434723,173.967165,-2.178306,3.068260,110.322333
553.990950,-195.970108,-400.279846,-283.715179,174.057132,-2.147735,3.095087,144.857680
554.024282,-197.089157,-401.445099,-285.308594,173.996035,-2.096140,3.118397,68.077303
554.057615,-187.023499,-400.427460,-286.557892,173.892322,-1.907876,3.157987,305.817440
554.090948,-188.149719,-393.295715,-288.693359,173.703182,-1.931386,3.165318,225.881287
554.124281,-196.529053,-397.724457,-290.909912,173.756367,-2.078684,3.159925,292.006478
554.157613,-192.300201,-396.137848,-290.393127,173.686979,-2.037811,3.191485,136.390278
554.190962,-197.530823,-396.499390,-293.850494,173.640305,-2.156402,3.193585,188.323665
554.224279,-198.883789,-398.779938,-296.523102,173.528772,-2.187553,3.177684,113.001478
554.257612,-199.517365,-402.003540,-300.702576,173.467693,-2.212146,3.153055,159.484912
554.290944,-194.686020,-395.087830,-300.328278,173.303876,-2.179005,3.169652,253.344175
554.324277,-197.457642,-393.449890,-299.872894,173.293079,-2.249671,3.126870,97.545303
554.357610,-197.798340,-393.567078,-297.705933,173.339026,-2.240787,3.139433,65.901933
554.390943,-190.732605,-393.147186,-297.616547,173.372077,-2.161512,3.113576,212.365061
554.424276,-191.953598,-394.514343,-298.308014,173.377807,-2.201443,3.083801,58.773560
554.457615,-188.870682,-396.097809,-298.909180,173.431959,-2.215278,3.064937,105.508471
554.490941,-183.382706,-391.544800,-298.272400,173.355740,-2.231232,3.062122,214.821410
554.524274,-184.608780,-391.926422,-298.349243,173.308907,-2.277370,3.051170,38.592077
554.557607,-192.793854,-396.139282,-299.900421,173.253274,-2.294388,3.015753,280.064936
554.590939,-187.212769,-393.827332,-299.215515,173.239085,-2.160061,2.956017,182.398227
554.624272,-185.374817,-396.031525,-296.667053,173.356041,-2.089993,2.949702,115.144855
554.657605,-189.722900,-400.989502,-296.292999,173.468616,-2.067558,3.022639,198.154844
554.690938,-190.961426,-402.154388,-294.346558,173.540375,-2.095013,3.051573,77.535198
554.724270,-192.549103,-403.144989,-294.559082,173.530419,-2.101061,3.079968,56.504092
554.757603,-193.429901,-401.672455,-296.457520,173.477198,-2.094675,3.116304,76.769282
554.790936,-191.813644,-396.613586,-296.334808,173.348373,-2.099178,3.138188,159.367663
554.824269,-193.958374,-397.862091,-294.963074,173.379116,-2.135547,3.165216,85.067039
554.857601,-189.185379,-397.652679,-298.117249,173.376076,-2.048706,3.092635,171.753014
554.890934,-188.271683,-391.832550,-296.988007,173.165983,-2.048225,3.091340,179.961631
554.924267,-190.951706,-392.717010,-297.668915,173.185187,-2.108363,3.105766,87.096149
554.957600,-190.503174,-393.897705,-297.818085,173.254347,-2.075007,3.106796,38.154348
554.990932,-190.057587,-388.467407,-297.749603,173.167502,-2.100179,3.093599,163.475910
555.024265,-193.170181,-392.488708,-298.353027,173.212505,-2.142299,3.100311,153.627402
555.057598,-191.112976,-395.696045,-298.501190,173.285755,-2.024492,3.157260,114.399340
555.090931,-198.113144,-395.172089,-300.427795,173.211024,-2.098308,3.230437,218.382171
555.124263,-202.125778,-390.757477,-302.099579,173.100574,-2.158456,3.286169,185.874059
555.157596,-198.920731,-389.845215,-301.782166,173.077571,-2.165107,3.239572,100.423974
555.190929,-197.977829,-388.332031,-301.853668,173.049697,-2.196805,3.196057,53.531000
